comune,comune_codice_istat,stemma_araldica,stemma,nome_file,comune_codice_istat,comune_codice_istat,est
Castagnole Piemonte,001065,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/castagnolepiemonte.jpg?fit=247%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/castagnolepiemonte.jpg,castagnolepiemonte.jpg,001065,001065,jpg
Castellamonte,001066,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Castellamonte-A.jpg?fit=298%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/Castellamonte-A.jpg,Castellamonte-A.jpg,001066,001066,jpg
Castelnuovo Nigra,001067,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/05/castelnuovonigra.jpg?fit=227%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/castelnuovonigra.jpg,castelnuovonigra.jpg,001067,001067,jpg
Castiglione Torinese,001068,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/05/castiglionetorinese.jpg?fit=227%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/castiglionetorinese.jpg,castiglionetorinese.jpg,001068,001068,jpg
Cavagnolo,001069,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Cavagnolo.jpg?fit=237%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/Cavagnolo.jpg,Cavagnolo.jpg,001069,001069,jpg
Cavour,001070,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/cavour.jpg?fit=227%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/cavour.jpg,cavour.jpg,001070,001070,jpg
Cercenasco,001071,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Cercenasco.gif?fit=254%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/Cercenasco.gif,Cercenasco.gif,001071,001071,gif
Ceres,001072,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/ceres.jpg?fit=254%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/ceres.jpg,ceres.jpg,001072,001072,jpg
Ceresole Reale,001073,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Ceresole-Reale.jpg?fit=300%2C249&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/Ceresole-Reale.jpg,Ceresole-Reale.jpg,001073,001073,jpg
Cesana Torinese,001074,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Cesana-Torinese.jpg?fit=218%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/Cesana-Torinese.jpg,Cesana-Torinese.jpg,001074,001074,jpg
Chialamberto,001075,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/05/Chialamberto.jpg?fit=212%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/Chialamberto.jpg,Chialamberto.jpg,001075,001075,jpg
Chianocco,001076,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/chianocco.jpg?fit=227%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/chianocco.jpg,chianocco.jpg,001076,001076,jpg
